framenumber,x,y,text
59,4,6,"Cx Dee ee ea ue ei ae Ue CCU)
"
59,9,32,"COC a eee oe ML oe ee a ee Sa ee ee Pa a a = 2 | (lca a ara} fou +)
"
59,3,61,"hare © EF = | & —| ) Avstractausitingentityiave UPA
"
59,2,75,"3 or Sr TT ; mm ;
"
59,1,87,"% Mere it package com.banking.app.domain; iS
"
59,134,119,"Oe rc
"
59,4,139,"F pene ¥
"
59,3,143,"A 3 import ... ae
"
59,4,159,"s Sere a
"
59,2,179,"é eee :
"
59,2,196,"é eee
"
59,2,205,"0 ese me ty ae
"
59,170,233,"© CacheConfiguration pan elM re me ot aol Ce ae eee eae Lee se ae Cee cel el eae eee eee me mere lee
"
59,177,258,"Xero eee Mey * lost modified by date
"
59,168,277,"© Constants
"
59,170,292,"Sire ese nmr af
"
59,176,309,"eee uence) rl Cee ee)
"
59,168,337,"Soe)
"
59,169,351,"Cee aa)
"
59,170,377,"ene @EntityListeners(AuditingEntityListener.class)
"
59,170,398,"Siete cy = aes moan or
"
59,170,408,"Elecite See Uke) haya haa lea (Ue sme et) Re | EIST ee 2G
"
59,169,438,"CTR ne Reeser cc
"
59,169,447,"© LoggingConfiguration ree are r . Te
"
59,155,464,"PTV ene x) ae EA) hh em ANT LOTS MeL ave (eee =
"
59,158,493,"Pee ae) 7 Es
"
59,169,518,"Seren eto eee ha
"
59,169,533,"© SwaggerContig lidat
"
59,170,551,"© webConfigurer (GLOOM MUG Meme Lh Lt) APOLLO POT: MSL Ch] cD er
"
59,133,575,"al @JsonIgnore Saree
"
59,171,598,"Cc Sy : : a
"
59,4,605,"2 omer t private String createdBy; hil
"
59,2,629,"By nes ——
"
59,2,650,"ao Ca oa
"
59,2,670,"“ Seeman he =
"
59,3,693,"A Peal Clee RU Gi) eT Ne Se he MR) Leche) Le LET B =
"
59,4,719,"5 ec] a
"
59,2,724,"i os alicia a
"
59,1,751,"af Pee aris @ private Instant createdDate = Instant.now(); sare
"
59,4,776,"2 SN el ~“
"
59,3,796,"A Coe ead
"
59,2,814,"2 aa erat ra att N 7
"
59,0,835,"sg . Mi Slee @Column(name = ""last_modified_by"", length = 50)
"
59,1,861,"A roe
"
59,62,873,"oe red @JsonIqnore
"
59,27,892,"[cee Re Cee
"
59,2,912,"ee rere ea ea See ee 2653 LF UTF-8 4spaces# P master “
"
71,4,6,"Cx Dee eae ee ue ei ae Te CCU)
"
71,9,32,"CO a eee ee MCL oe ec ee Sa ee ee Pa a a = 2 | (lca a ara} fou +)
"
71,3,61,"hare © EF = | & —| ) Avstractausitingentityiave UPA
"
71,2,75,"3 or ST ; mm ;
"
71,1,87,"% Mere it package com.banking.app.domain; iS
"
71,134,119,"Oe rc
"
71,4,139,"F pene ¥
"
71,3,143,"A 3 import ... ae
"
71,4,159,"s Sere a
"
71,2,179,"é eee :
"
71,2,196,"é eee
"
71,716,208,"ood
"
71,2,205,"0 ese me ty 4
"
71,170,235,"Cera eee iy cael remot eel Ce cae eek eel eee ae ae Cae e el eee eee me mere lee
"
71,172,258,"xeric Met aoe eR ae
"
71,168,273,"© Constants 7
"
71,170,292,"Sire ese nmr af
"
71,181,309,"eee uence) rl Cee ee)
"
71,168,337,"Seema)
"
71,169,351,"Cee ca)
"
71,170,377,"ene @EntityListeners(AuditingEntityListener.class)
"
71,170,389,"Ser Eee cry = aes moma or
"
71,170,408,"erence See Uke) haya haa leae (Ue sme et) Re MT ELL iee 2: e
"
71,169,438,"Teer ne Re secre cc
"
71,169,447,"© LoggingConfiguration ree are r . SrTe
"
71,155,458,"PTV ene x) * private static final long serialVersionUID = 1L;| =
"
71,158,493,"Pee ae) 7 Es
"
71,169,518,"Seren eto eee Pe
"
71,169,537,"Seren
"
71,170,551,"© webConfigurer (GLOOM MUTN Qtech Lt) A ULL OM PTs RSLS Eh] MOD er
"
71,133,575,"a lS @JsonIgnore Saree
"
71,171,598,"Cc : :
"
71,4,605,"2 omer t private String createdBy; i had
"
71,2,629,"By nes ——
"
71,2,650,"ao Ca oa
"
71,2,670,"“ Seem ans he =
"
71,3,689,"A Peal @Column(name = ""created_date"", updatable = false) ue
"
71,4,713,"5 eect] nan a
"
71,2,728,"i or alicia a
"
71,1,751,"af Pee aris @ private Instant createdDate = Instant.now(); sare
"
71,4,776,"2 SN el ~“
"
71,3,796,"A Coa }
"
71,2,814,"2 aa ere ra sity]
"
