x,y,text
10,2,"™J File Edit Selection View Go Debug Terminal Help ‘UserService java - sales-app - Visual Studio Code - o xXx
"
13,36,"& SEARCH O & 8 © Gshierjava @ © UserServicejava X Cees Live Share Chat X a
"
77,73,"= Kee 5? main > java > com > mycompany > myapp > service > © UserServicejava _
"
0,85,"| me aus 4og.debug( “Changed intormation tor User: {}"", user); ( (le
"
66,109,"Replace AB 218 return user; itn
"
16,135,"% 179 results in 24 files a 219 ») ‘ , a 7
"
65,166,"Y © CacheConfigurationjava sic\..@) 220 -map(UserDTO: :new) 5 ==
"
91,182,"repository. UserRepository.USERS BY... 221 } = as
"
0,198,"Big repository.UserRepository.USERS BY... 222 ae
"
26,231,"YO UeetRepositoryiva sensi) 223 public void deleteUser(String login) { =
"
2,252,"ag String USERS BY_LOGIN.CACHE=""u.. 994 userRepository.findOneByLogin(login).ifPresent(user -> { —
"
90,279,"pg een aN me 2295 userRepository.delete(user) ; =
"
18,304,"&@ an ee z = 226 this.clearUserCaches (user); =
"
147,335,"Gee (227 log.debug(""Deleted User: {}"", user); =
"
91,365,"@Cacheable(cacheNames = USERS... 228 Ys Bee Tuesday, December 10
"
65,392,"Y © UserMapperjava src\moin\ov..@) 229 3 —_
"
91,418,"public List<UserD10> useisToUserD... 230 ; ; = Bat eye code@ outlocicon
"
90,431,"usersToUserDTOs(list<User> users){ 231 public void changePassword(String currentClearTextPassword, String ieee mh ean
"
84,459,"return users.stream( newPassword) { ee _ ” |
"
91,480,"public List<User> userDTOsToUsers(... 232 SecurityUtils.getCurrentUserLogin() — has ao the Live Share
"
65,514,"Y © UserService,java src\main\java... (@) 233 .flatMap(userRepository: : findOneByLogin) session
"
90,535,"Service dass formanaging @X = 934 .ifPresent(user -> { a .
"
91,551,"Public cass UserService { 235 String currentEncryptedPassword = user.getPassword(); a FA gsimha 05:09 PM
"
91,577,"= loggetacioeysetlooge lame 536 if (lpasswordEncoder.matches(currentClearTextPassword, = has joined the Live Share
"
91,601,"ie eee currentEncryptedPassword)) { Steer session
"
266,632,"a, 237 throw new InvalidPasswordException(); oe —* SaROS ren
"
91,653,"public void removeNotActivatedUser,. 22° + —= Fi = ' |
"
90,683,"Eateries 239 String encryptedPassword = passwordEncoder..encode(newPassword); js==——~ = has left the Live Share session |
"
90,718,"cacheManager.getCache(UserReposi.. 240 user. setPassword (encryptedPassword) ;
"
66,738,"> © AccountResourcejava src\m... 14) 241 this.clearUserCaches (user) ; 1 z
"
65,759,"Y © UserJWIControllerjava sre\m... (4 242 log.debug(""Changed password for User: {}"", user); Message Live Share Chat
"
1,786,"$3 Controller to authenticate users. 243 })s
"
66,815,"> © UserResourcejava sxc\main\.. 3
"
10,3,"‘J File Edit Selection View Go Debug Terminal Help ‘UserService java - sales-app - Visual Studio Code - o xX
"
13,38,"& SEARCH 0 S 8B © Gshierjava @ © UserServicejava X ies Live Share Chat X “
"
77,73,"= Kemp 5%¢> main > java > com > mycompany > myapp > service > © UserServicejava
"
0,89,"| p. = 258 return userRepository.tindOneWithAuthoritiesByld(id) ; ile
"
68,104,"Replace 48 259 } Tio —
"
76,138,"179 results in 24 files “260 —_—.
"
3,145,"&@ Y © CacheConfigurationjava src\.. @ 261 @Transactional(readOnly = true) =o!
"
91,182,"repository.UserRepository.USERS BY... 262 public Optional<User> getUserWithAuthorities() { Le 7
"
4,198,"Bcd repository.UserRepository.USERS BY... 263 return SecurityUtils.getCurrentUserLogin() .flatMap ae !
"
65,237,"Y © UserRepository,java src\main\... (6 (userRepository: : findOneWithAuthoritiesByLogin) ; a
"
0,250,"ag String USERS BY_LOGIN.CACHE=""u.. 964 } —
"
90,279,"‘String USERS_BY_LOGIN_CACHE = “u.. 265 —— 2
"
14,303,"@ String USERS_BY_EMAIL_CACHE = “u... vy m=
"
27,316,". String USERS BY EMAIL CACHE = “iiss 70° i Ee
"
110,329,"ing USERS_BY cz * : 7 ad
"
154,334,"efcachafianes = IESE. ay . Not activated liSérs should be automatically deleted after 3 days. ee
"
