world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans
0,6656.878221999999,"[[ 3.44926057e-03 -3.67332810e-04 -2.18704320e+00]
 [-3.20335100e-04 -4.46882267e-03  2.77160564e+00]
 [ 1.66481654e-04 -1.05891837e-04  9.44728468e-01]]","[[ 2.52921923e+02 -3.72538699e+01  6.94807269e+02]
 [-4.91926892e+01 -2.33245112e+02  5.70404036e+02]
 [-5.00841943e-02 -1.95788187e-02  1.00000000e+00]]",7,"[[ 3.50035441e-03 -3.72978277e-04 -2.21396831e+00]
 [-5.64084944e-04 -4.63728002e-03  3.01678020e+00]
 [-1.16563800e-04 -1.97869714e-04  1.19280778e+00]]","[[ 3.00103375e+02 -5.37003413e+01  6.92837104e+02]
 [-1.95345752e+01 -2.38234930e+02  5.66271868e+02]
 [ 2.60862559e-02 -4.47674759e-02  1.00000000e+00]]"
1,6656.945242999995,"[[ 3.44452286e-03 -3.39342079e-04 -2.18969096e+00]
 [-3.14522291e-04 -4.47114655e-03  2.76514263e+00]
 [ 1.61349014e-04 -1.00594465e-04  9.45689362e-01]]","[[ 2.54722390e+02 -3.48977013e+01  6.91834406e+02]
 [-4.79499576e+01 -2.32836189e+02  5.69774500e+02]
 [-4.85600331e-02 -1.88130720e-02  1.00000000e+00]]",7,"[[ 3.49269556e-03 -3.45261550e-04 -2.21453184e+00]
 [-5.53848606e-04 -4.63726352e-03  3.00545555e+00]
 [-1.18141142e-04 -1.91282047e-04  1.18972258e+00]]","[[ 3.01576524e+02 -5.09139148e+01  6.89967843e+02]
 [-1.85417660e+01 -2.37598581e+02  5.65703848e+02]
 [ 2.69658562e-02 -4.32566145e-02  1.00000000e+00]]"
2,6657.045773999998,"[[ 3.44786323e-03 -2.81588238e-04 -2.14487450e+00]
 [-3.21722413e-04 -4.47929766e-03  2.77288414e+00]
 [ 1.42217320e-04 -9.17631098e-05  9.57294020e-01]]","[[ 2.59649857e+02 -3.00222164e+01  6.68722953e+02]
 [-4.52110218e+01 -2.32104940e+02  5.71013845e+02]
 [-4.29078316e-02 -1.77886747e-02  1.00000000e+00]]",7,"[[ 3.48818787e-03 -2.95226160e-04 -2.16157439e+00]
 [-5.28388832e-04 -4.65019828e-03  2.98876940e+00]
 [-9.94958713e-05 -1.86325844e-04  1.17204906e+00]]","[[ 2.98799990e+02 -4.57219098e+01  6.67660320e+02]
 [-1.96575776e+01 -2.36509525e+02  5.66854356e+02]
 [ 2.22402384e-02 -4.14803267e-02  1.00000000e+00]]"
3,6657.112794999994,"[[ 3.44808617e-03 -2.67172794e-04 -2.05142251e+00]
 [-3.64605112e-04 -4.47754806e-03  2.80857526e+00]
 [ 1.06953185e-04 -9.08166610e-05  9.83838180e-01]]","[[ 2.67122471e+02 -2.89100820e+01  6.39512881e+02]
 [-4.24229019e+01 -2.32471402e+02  5.75182123e+02]
 [-3.29549167e-02 -1.83162755e-02  1.00000000e+00]]",7,"[[ 3.48946734e-03 -2.92933012e-04 -2.06434789e+00]
 [-5.30198452e-04 -4.66686328e-03  3.00100895e+00]
 [-8.24463056e-05 -1.91207057e-04  1.16178625e+00]]","[[ 2.94892367e+02 -4.47101824e+01  6.39477438e+02]
 [-2.24179526e+01 -2.36239347e+02  5.70395755e+02]
 [ 1.72375216e-02 -4.20531917e-02  1.00000000e+00]]"
4,6657.179815999989,"[[ 3.42780032e-03 -2.68273079e-04 -1.90662994e+00]
 [-4.05252793e-04 -4.45284516e-03  2.84553007e+00]
 [ 6.21123668e-05 -8.36603860e-05  1.01149019e+00]]","[[ 2.77511087e+02 -2.80288753e+01  6.01951417e+02]
 [-3.81632103e+01 -2.33253262e+02  5.84252872e+02]
 [-2.01975456e-02 -1.75712214e-02  1.00000000e+00]]",7,"[[ 3.49182687e-03 -3.12523426e-04 -1.92672648e+00]
 [-5.20830674e-04 -4.68604833e-03  3.02239289e+00]
 [-6.03915036e-05 -1.98152935e-04  1.15095921e+00]]","[[ 2.90128195e+02 -4.48689531e+01  6.03504688e+02]
 [-2.52291579e+01 -2.36153765e+02  5.77900385e+02]
 [ 1.08796612e-02 -4.30113114e-02  1.00000000e+00]]"
5,6657.280346999993,"[[ 3.39626669e-03 -3.14796976e-04 -1.73818221e+00]
 [-4.33693465e-04 -4.44473446e-03  2.87583138e+00]
 [ 1.51347214e-05 -7.12212424e-05  1.03356784e+00]]","[[ 2.88150338e+02 -2.94878329e+01  5.66638980e+02]
 [-3.22856872e+01 -2.32180423e+02  5.91730233e+02]
 [-6.44418450e-03 -1.55673265e-02  1.00000000e+00]]",7,"[[ 3.50135774e-03 -3.80554208e-04 -1.77423690e+00]
 [-5.01016172e-04 -4.73177238e-03  3.04674983e+00]
 [-4.29900605e-05 -2.01898597e-04  1.14232315e+00]]","[[ 2.85833347e+02 -4.73157907e+01  5.70149917e+02]
 [-2.63357637e+01 -2.34117386e+02  5.83522469e+02]
 [ 6.10233552e-03 -4.31594866e-02  1.00000000e+00]]"
6,6657.380877999996,"[[ 3.39268518e-03 -3.59991234e-04 -1.68677705e+00]
 [-4.61597879e-04 -4.44533088e-03  2.88940065e+00]
 [ 8.25519583e-06 -7.51225197e-05  1.03983762e+00]]","[[ 2.88918346e+02 -3.28603501e+01  5.59979312e+02]
 [-3.30434612e+01 -2.32280797e+02  5.91837922e+02]
 [-4.68090932e-03 -1.65201276e-02  1.00000000e+00]]",7,"[[ 3.50754092e-03 -4.30931964e-04 -1.72648633e+00]
 [-5.18550100e-04 -4.73833920e-03  3.05669736e+00]
 [-3.51481645e-05 -2.05794580e-04  1.13987794e+00]]","[[ 2.83320629e+02 -5.02578133e+01  5.63895567e+02]
 [-2.87143414e+01 -2.33770541e+02  5.83387795e+02]
 [ 3.55208583e-03 -4.37548429e-02  1.00000000e+00]]"
7,6657.447898999992,"[[ 3.38625791e-03 -3.68720520e-04 -1.67995295e+00]
 [-4.70442403e-04 -4.43423339e-03  2.88949987e+00]
 [ 6.75303524e-06 -6.63217173e-05  1.03548740e+00]]","[[ 2.89681973e+02 -3.24725410e+01  5.60587689e+02]
 [-3.33565577e+01 -2.31601211e+02  5.92160002e+02]
 [-4.02563736e-03 -1.46220049e-02  1.00000000e+00]]",7,"[[ 3.50133586e-03 -4.39929262e-04 -1.71968336e+00]
 [-5.28398458e-04 -4.72833967e-03  3.05814012e+00]
 [-3.71660032e-05 -1.97776187e-04  1.13641896e+00]]","[[ 2.84045628e+02 -5.00392074e+01  5.64488513e+02]
 [-2.89983468e+01 -2.33207009e+02  5.83685914e+02]
 [ 4.24285270e-03 -4.22225890e-02  1.00000000e+00]]"
8,6657.514920000001,"[[ 3.39110253e-03 -3.66365444e-04 -1.68668310e+00]
 [-4.72001725e-04 -4.44408191e-03  2.89596551e+00]
 [ 2.15883461e-06 -7.75201402e-05  1.04468204e+00]]","[[ 2.89843260e+02 -3.36861817e+01  5.61345680e+02]
 [-3.27583177e+01 -2.32644762e+02  5.92025403e+02]
 [-3.02977645e-03 -1.71936828e-02  1.00000000e+00]]",7,"[[ 3.50474900e-03 -4.36920968e-04 -1.72585694e+00]
 [-5.30295663e-04 -4.73614357e-03  3.06371899e+00]
 [-4.28643915e-05 -2.07973536e-04  1.14559931e+00]]","[[ 2.84512985e+02 -5.10655738e+01  5.65188257e+02]
 [-2.82924732e+01 -2.34159136e+02  5.83597620e+02]
 [ 5.50924759e-03 -4.44202417e-02  1.00000000e+00]]"
9,6657.615450999991,"[[ 3.38642955e-03 -3.66040640e-04 -1.67636837e+00]
 [-4.73964336e-04 -4.43861971e-03  2.88679497e+00]
 [ 4.08561204e-06 -7.35430549e-05  1.04115880e+00]]","[[ 2.89979014e+02 -3.31737044e+01  5.58874721e+02]
 [-3.32312384e+01 -2.32342085e+02  5.90703521e+02]
 [-3.48522104e-03 -1.62814855e-02  1.00000000e+00]]",7,"[[ 3.50170540e-03 -4.36532528e-04 -1.71665286e+00]
 [-5.29149870e-04 -4.72872315e-03  3.05158273e+00]
 [-3.72204904e-05 -2.02276573e-04  1.13874412e+00]]","[[ 2.83958274e+02 -5.02893569e+01  5.62830492e+02]
 [-2.91242967e+01 -2.33695558e+02  5.82347698e+02]
 [ 4.10794942e-03 -4.31553763e-02  1.00000000e+00]]"
