world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans
0,6656.878221999999,"[[ 2.29473718e-03 -3.36807899e-04 -1.11396899e+00]
 [-2.83469715e-04 -4.03181789e-03  2.53617018e+00]
 [ 3.69608767e-05 -9.78480015e-05  1.03647918e+00]]","[[ 4.20514843e+02 -4.90074445e+01  5.71870353e+02]
 [-4.14605115e+01 -2.58853899e+02  5.88831719e+02]
 [-1.89096181e-02 -2.26892919e-02  1.00000000e+00]]",7,"[[ 2.31400158e-03 -3.68268297e-04 -1.11897906e+00]
 [-4.56914530e-04 -4.22686503e-03  2.72575501e+00]
 [-1.53751751e-04 -1.95750611e-04  1.20264294e+00]]","[[ 4.57305421e+02 -6.65313266e+01  5.76283506e+02]
 [-1.31080798e+01 -2.62419321e+02  5.82569513e+02]
 [ 5.63305972e-02 -5.12189018e-02  1.00000000e+00]]"
1,6656.945242999995,"[[ 2.28868404e-03 -3.16868283e-04 -1.11473119e+00]
 [-2.78229273e-04 -4.03101458e-03  2.52867618e+00]
 [ 3.19654702e-05 -9.35682967e-05  1.03685274e+00]]","[[ 4.23342824e+02 -4.64735654e+01  5.68480005e+02]
 [-3.96519041e+01 -2.58609841e+02  5.88067434e+02]
 [-1.66296649e-02 -2.19048782e-02  1.00000000e+00]]",7,"[[ 2.30771214e-03 -3.47825002e-04 -1.11988939e+00]
 [-4.47550127e-04 -4.22504816e-03  2.71452380e+00]
 [-1.55191829e-04 -1.89709872e-04  1.19929162e+00]]","[[ 4.59535167e+02 -6.35580783e+01  5.72970296e+02]
 [-1.16568534e+01 -2.61847137e+02  5.81790023e+02]
 [ 5.76212504e-02 -4.96448739e-02  1.00000000e+00]]"
2,6657.045773999998,"[[ 2.27967274e-03 -2.76257553e-04 -1.07932275e+00]
 [-2.84736098e-04 -4.02840235e-03  2.52999173e+00]
 [ 1.25917924e-05 -8.69170720e-05  1.04437850e+00]]","[[ 4.30493898e+02 -4.12788721e+01  5.44895421e+02]
 [-3.55458704e+01 -2.58519334e+02  5.89524116e+02]
 [-8.14860969e-03 -2.10172544e-02  1.00000000e+00]]",7,"[[ 2.31463447e-03 -3.14014126e-04 -1.09131781e+00]
 [-4.25096276e-04 -4.24394241e-03  2.70523330e+00]
 [-1.37268767e-04 -1.86269403e-04  1.18402778e+00]]","[[ 4.54072228e+02 -5.77583719e+01  5.50482842e+02]
 [-1.32556239e+01 -2.60206460e+02  5.82294680e+02]
 [ 5.05569367e-02 -4.76314181e-02  1.00000000e+00]]"
3,6657.112794999994,"[[ 2.25940450e-03 -2.65590574e-04 -1.00598440e+00]
 [-3.23254053e-04 -4.00997581e-03  2.55231297e+00]
 [-2.27168368e-05 -8.63530787e-05  1.06307997e+00]]","[[ 4.41998708e+02 -4.03688433e+01  5.15180177e+02]
 [-3.12337744e+01 -2.60121597e+02  5.94960917e+02]
 [ 6.90792807e-03 -2.19920926e-02  1.00000000e+00]]",7,"[[ 2.32474557e-03 -3.14734893e-04 -1.03049586e+00]
 [-4.27548146e-04 -4.26720910e-03  2.72325272e+00]
 [-1.21013660e-04 -1.91562013e-04  1.17546093e+00]]","[[ 4.46979823e+02 -5.64273611e+01  5.22583785e+02]
 [-1.72073436e+01 -2.59374541e+02  5.85821537e+02]
 [ 4.32123176e-02 -4.80788339e-02  1.00000000e+00]]"
4,6657.179815999989,"[[ 2.22046367e-03 -2.62539553e-04 -8.98639579e-01]
 [-3.59334386e-04 -3.96576422e-03  2.57219020e+00]
 [-6.63667786e-05 -7.88350701e-05  1.07934015e+00]]","[[ 4.58151644e+02 -3.97985207e+01  4.76293378e+02]
 [-2.43968299e+01 -2.62578635e+02  6.05442350e+02]
 [ 2.63890146e-02 -2.16259025e-02  1.00000000e+00]]",7,"[[ 2.33808110e-03 -3.30715511e-04 -9.42640250e-01]
 [-4.20093640e-04 -4.29482002e-03  2.75153065e+00]
 [-9.99935703e-05 -1.98323206e-04  1.16631194e+00]]","[[ 4.38424166e+02 -5.62507738e+01  4.87049799e+02]
 [-2.11014583e+01 -2.58597916e+02  5.93022319e+02]
 [ 3.40000711e-02 -4.87954223e-02  1.00000000e+00]]"
5,6657.280346999993,"[[ 2.17309824e-03 -2.87163125e-04 -7.78579169e-01]
 [-3.84047783e-04 -3.93431609e-03  2.58427696e+00]
 [-1.11135182e-04 -6.44121894e-05  1.08838084e+00]]","[[ 4.75242951e+02 -4.18816808e+01  4.39412481e+02]
 [-1.51024329e+01 -2.63123188e+02  6.13962254e+02]
 [ 4.76335388e-02 -1.98486302e-02  1.00000000e+00]]",7,"[[ 2.35302352e-03 -3.78053679e-04 -8.43171104e-01]
 [-4.02608393e-04 -4.34326272e-03  2.78012881e+00]
 [-8.36129701e-05 -2.00081614e-04  1.15763921e+00]]","[[ 4.31129537e+02 -5.84605083e+01  4.54410760e+02]
 [-2.25241301e+01 -2.55828236e+02  5.97978846e+02]
 [ 2.72462755e-02 -4.84387389e-02  1.00000000e+00]]"
6,6657.380877999996,"[[ 2.16681392e-03 -3.16919009e-04 -7.43151156e-01]
 [-4.08711687e-04 -3.93201504e-03  2.59456007e+00]
 [-1.17744812e-04 -6.64372910e-05  1.09182106e+00]]","[[ 4.76408342e+02 -4.57128173e+01  4.32898830e+02]
 [-1.62719779e+01 -2.63399952e+02  6.14857582e+02]
 [ 5.03869604e-02 -2.09576707e-02  1.00000000e+00]]",7,"[[ 2.36135216e-03 -4.13325085e-04 -8.12327877e-01]
 [-4.19018600e-04 -4.35375482e-03  2.79245987e+00]
 [-7.61155674e-05 -2.02972012e-04  1.15557333e+00]]","[[ 4.27043974e+02 -6.14607807e+01  4.48717943e+02]
 [-2.59860944e+01 -2.55108119e+02  5.98205183e+02]
 [ 2.35642722e-02 -4.88570729e-02  1.00000000e+00]]"
7,6657.447898999992,"[[ 2.16137581e-03 -3.19723094e-04 -7.39757513e-01]
 [-4.16396845e-04 -3.92042505e-03  2.59350277e+00]
 [-1.18922521e-04 -5.73872638e-05  1.08685323e+00]]","[[ 4.77781213e+02 -4.53074111e+01  4.33312544e+02]
 [-1.67471056e+01 -2.62718497e+02  6.15513054e+02]
 [ 5.13941297e-02 -1.88293752e-02  1.00000000e+00]]",7,"[[ 2.35573515e-03 -4.16875135e-04 -8.08439988e-01]
 [-4.27912351e-04 -4.34317852e-03  2.79283670e+00]
 [-7.79845747e-05 -1.94690308e-04  1.15160438e+00]]","[[ 4.28240739e+02 -6.12377611e+01  4.49142096e+02]
 [-2.64163094e+01 -2.54552263e+02  5.98788016e+02]
 [ 2.45337488e-02 -4.71815323e-02  1.00000000e+00]]"
8,6657.514920000001,"[[ 2.16242172e-03 -3.21481543e-04 -7.41084607e-01]
 [-4.17854766e-04 -3.92834807e-03  2.59878776e+00]
 [-1.23632633e-04 -6.85742676e-05  1.09587867e+00]]","[[ 4.78241473e+02 -4.67169388e+01  4.34194786e+02]
 [-1.58328796e+01 -2.64006148e+02  6.15362323e+02]
 [ 5.29625463e-02 -2.17905204e-02  1.00000000e+00]]",7,"[[ 2.35530112e-03 -4.17634696e-04 -8.09569003e-01]
 [-4.29596400e-04 -4.34866805e-03  2.79688246e+00]
 [-8.36261681e-05 -2.04900640e-04  1.16029924e+00]]","[[ 4.29163609e+02 -6.24134134e+01  4.49884408e+02]
 [-2.53859096e+01 -2.55727750e+02  5.98715217e+02]
 [ 2.64481075e-02 -4.96580298e-02  1.00000000e+00]]"
9,6657.615450999991,"[[ 2.16028216e-03 -3.20092804e-04 -7.35744682e-01]
 [-4.19568268e-04 -3.92390983e-03  2.59090833e+00]
 [-1.21579629e-04 -6.46205629e-05  1.09215701e+00]]","[[ 4.78234147e+02 -4.61193105e+01  4.31576351e+02]
 [-1.66335927e+01 -2.63604891e+02  6.14140662e+02]
 [ 5.22531629e-02 -2.07309617e-02  1.00000000e+00]]",7,"[[ 2.35610568e-03 -4.15897127e-04 -8.05855200e-01]
 [-4.28689707e-04 -4.34388143e-03  2.78716806e+00]
 [-7.80665870e-05 -1.99266384e-04  1.15398964e+00]]","[[ 4.28064274e+02 -6.15120381e+01  4.47492934e+02]
 [-2.66129381e+01 -2.55068460e+02  5.97468528e+02]
 [ 2.43628296e-02 -4.82054628e-02  1.00000000e+00]]"
