world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans
0,6656.878221999999,"[[ 8.33905736e-03 -1.28670664e-03 -4.01120589e+00]
 [-3.30821834e-04 -4.35139753e-03  2.75142805e+00]
 [ 1.04459767e-04 -4.07575261e-04  1.18025580e+00]]","[[ 1.09346362e+02 -8.58981259e+01  5.71870340e+02]
 [-1.84643653e+01 -2.79504460e+02  5.88831712e+02]
 [-1.60540741e-02 -8.89181865e-02  1.00000000e+00]]",7,"[[ 8.86114520e-03 -1.47774074e-03 -4.24564504e+00]
 [-3.41109703e-04 -4.57161170e-03  2.85985754e+00]
 [ 1.67070023e-04 -5.45320617e-04  1.22140747e+00]]","[[ 9.81197236e+01 -1.00457960e+02  5.76283499e+02]
 [-2.18080425e+01 -2.81183229e+02  5.82569523e+02]
 [-2.31579061e-02 -1.11798479e-01  1.00000000e+00]]"
1,6656.945242999995,"[[ 8.31712951e-03 -1.21419595e-03 -4.01409264e+00]
 [-3.25096346e-04 -4.35074384e-03  2.74334151e+00]
 [ 9.96169955e-05 -4.02468629e-04  1.18004842e+00]]","[[ 1.10167634e+02 -8.33329821e+01  5.68479993e+02]
 [-1.79580409e+01 -2.79233657e+02  5.88067428e+02]
 [-1.54248898e-02 -8.82009616e-02  1.00000000e+00]]",7,"[[ 8.83718820e-03 -1.39936413e-03 -4.24931018e+00]
 [-3.31443599e-04 -4.56832751e-03  2.84771475e+00]
 [ 1.65321884e-04 -5.36039160e-04  1.21713771e+00]]","[[ 9.87828830e+01 -9.74903254e+01  5.72970290e+02]
 [-2.14081668e+01 -2.80606943e+02  5.81790033e+02]
 [-2.28458849e-02 -1.10340042e-01  1.00000000e+00]]"
2,6657.045773999998,"[[ 8.28426514e-03 -1.06649924e-03 -3.88533101e+00]
 [-3.32028050e-04 -4.34835803e-03  2.74438246e+00]
 [ 7.94173987e-05 -3.94061292e-04  1.18903446e+00]]","[[ 1.12403058e+02 -7.69485776e+01  5.44895408e+02]
 [-1.68442566e+01 -2.79265009e+02  5.89524111e+02]
 [-1.30899722e-02 -8.74125001e-02  1.00000000e+00]]",7,"[[ 8.86407032e-03 -1.27008193e-03 -4.13995659e+00]
 [-3.06835441e-04 -4.58645696e-03  2.83957718e+00]
 [ 1.85858511e-04 -5.28759291e-04  1.20558181e+00]]","[[ 9.81351393e+01 -9.06391544e+01  5.50482835e+02]
 [-2.18708320e+01 -2.79107815e+02  5.82294690e+02]
 [-2.47213887e-02 -1.08441245e-01  1.00000000e+00]]"
3,6657.112794999994,"[[ 8.20997862e-03 -1.02743133e-03 -3.61833665e+00]
 [-3.73416110e-04 -4.32856884e-03  2.76770584e+00]
 [ 4.04932327e-05 -3.91730259e-04  1.21220288e+00]]","[[ 1.15890313e+02 -7.41309677e+01  5.15180164e+02]
 [-1.57213775e+01 -2.81134851e+02  5.94960913e+02]
 [-8.95172982e-03 -8.83740066e-02  1.00000000e+00]]",7,"[[ 8.90278216e-03 -1.27320949e-03 -3.90657598e+00]
 [-3.08815860e-04 -4.61153629e-03  2.86291948e+00]
 [ 2.03483837e-04 -5.35777041e-04  1.20753238e+00]]","[[ 9.73418665e+01 -8.75901116e+01  5.22583778e+02]
 [-2.30517053e+01 -2.78544937e+02  5.85821547e+02]
 [-2.66312286e-02 -1.08829222e-01  1.00000000e+00]]"
4,6657.179815999989,"[[ 8.06783808e-03 -1.01565708e-03 -3.22773596e+00]
 [-4.11970741e-04 -4.28084592e-03  2.78802433e+00]
 [-7.31185588e-06 -3.80840623e-04  1.23405963e+00]]","[[ 1.20753959e+02 -7.10225226e+01  4.76293367e+02]
 [-1.39608798e+01 -2.84148880e+02  6.05442347e+02]
 [-3.59296626e-03 -8.81114173e-02  1.00000000e+00]]",7,"[[ 8.95400705e-03 -1.33488803e-03 -3.56942885e+00]
 [-2.99928368e-04 -4.64228193e-03  2.89905689e+00]
 [ 2.27053182e-04 -5.46889858e-04  1.21373169e+00]]","[[ 9.64801319e+01 -8.51203718e+01  4.87049790e+02]
 [-2.43587346e+01 -2.78268691e+02  5.93022330e+02]
 [-2.90242613e-02 -1.09460332e-01  1.00000000e+00]]"
5,6657.280346999993,"[[ 7.89524189e-03 -1.10470150e-03 -2.79102274e+00]
 [-4.38156821e-04 -4.24661267e-03  2.79979145e+00]
 [-5.57231300e-05 -3.65051275e-04  1.24861314e+00]]","[[ 1.25846776e+02 -7.05105996e+01  4.39412473e+02]
 [-1.14981317e+01 -2.85268706e+02  6.13962251e+02]
 [ 2.25463639e-03 -8.65494465e-02  1.00000000e+00]]",7,"[[ 9.01154776e-03 -1.51707018e-03 -3.18776829e+00]
 [-2.80144358e-04 -4.69747958e-03  2.93629408e+00]
 [ 2.46924262e-04 -5.59223603e-04  1.22219885e+00]]","[[ 9.58732221e+01 -8.50591507e+01  4.54410751e+02]
 [-2.49653937e+01 -2.76005380e+02  5.97978857e+02]
 [-3.07925850e-02 -1.09102995e-01  1.00000000e+00]]"
6,6657.380877999996,"[[ 7.87201285e-03 -1.21285539e-03 -2.66205177e+00]
 [-4.64730364e-04 -4.24380781e-03  2.81051863e+00]
 [-6.43901180e-05 -3.68052847e-04  1.25417449e+00]]","[[ 1.26227109e+02 -7.36189968e+01  4.32898823e+02]
 [-1.18302025e+01 -2.85581207e+02  6.14857580e+02]
 [ 3.00886262e-03 -8.75869450e-02  1.00000000e+00]]",7,"[[ 9.04320929e-03 -1.65241111e-03 -3.06936927e+00]
 [-2.97258391e-04 -4.71106170e-03  2.95156675e+00]
 [ 2.54551236e-04 -5.68216111e-04  1.22568812e+00]]","[[ 9.50743752e+01 -8.74687575e+01  4.48717933e+02]
 [-2.58890569e+01 -2.75337184e+02  5.98205194e+02]
 [-3.17469658e-02 -1.09477885e-01  1.00000000e+00]]"
7,6657.447898999992,"[[ 7.85212209e-03 -1.22287220e-03 -2.64972915e+00]
 [-4.72973207e-04 -4.23125867e-03  2.80934015e+00]
 [-6.63428797e-05 -3.58257720e-04  1.24925950e+00]]","[[ 1.26601323e+02 -7.32772029e+01  4.33312537e+02]
 [-1.19660860e+01 -2.84993049e+02  6.15513051e+02]
 [ 3.29167293e-03 -8.56206259e-02  1.00000000e+00]]",7,"[[ 9.02154269e-03 -1.66585049e-03 -3.05446318e+00]
 [-3.07192411e-04 -4.69991358e-03  2.95222502e+00]
 [ 2.51208988e-04 -5.59740979e-04  1.22233767e+00]]","[[ 9.53668037e+01 -8.72931089e+01  4.49142087e+02]
 [-2.60326461e+01 -2.74856054e+02  5.98788027e+02]
 [-3.15203713e-02 -1.07923847e-01  1.00000000e+00]]"
8,6657.514920000001,"[[ 7.85590242e-03 -1.22938785e-03 -2.65447287e+00]
 [-4.74559216e-04 -4.23979794e-03  2.81506303e+00]
 [-7.11200392e-05 -3.70095626e-04  1.25862285e+00]]","[[ 1.26714534e+02 -7.46438633e+01  4.34194780e+02]
 [-1.17165432e+01 -2.86178432e+02  6.15362321e+02]
 [ 3.71493434e-03 -8.83680606e-02  1.00000000e+00]]",7,"[[ 9.01985283e-03 -1.66884769e-03 -3.05872654e+00]
 [-3.09032504e-04 -4.70586913e-03  2.95650441e+00]
 [ 2.45384339e-04 -5.70448170e-04  1.23114142e+00]]","[[ 9.55975106e+01 -8.84370993e+01  4.49884398e+02]
 [-2.57423592e+01 -2.75948160e+02  5.98715228e+02]
 [-3.09816671e-02 -1.10233513e-01  1.00000000e+00]]"
9,6657.615450999991,"[[ 7.84809680e-03 -1.22427014e-03 -2.63517885e+00]
 [-4.76387114e-04 -4.23501883e-03  2.80649467e+00]
 [-6.92755405e-05 -3.65761760e-04  1.25452685e+00]]","[[ 1.26742409e+02 -7.39125570e+01  4.31576344e+02]
 [-1.19224786e+01 -2.85720769e+02  6.14140660e+02]
 [ 3.52273219e-03 -8.73843899e-02  1.00000000e+00]]",7,"[[ 9.02295054e-03 -1.66211335e-03 -3.04464609e+00]
 [-3.08004666e-04 -4.70060624e-03  2.94629425e+00]
 [ 2.51129461e-04 -5.64216854e-04  1.22472316e+00]]","[[ 9.53888436e+01 -8.74419381e+01  4.47492924e+02]
 [-2.60248002e+01 -2.75250805e+02  5.97468539e+02]
 [-3.15488275e-02 -1.08875132e-01  1.00000000e+00]]"
