world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans
0,6656.878221999999,"[[ 2.20884012e-03 -2.87566711e-04 -1.09829442e+00]
 [-2.88228833e-04 -4.05463766e-03  2.64201238e+00]
 [ 2.17804805e-04 -1.42988448e-04  9.61696973e-01]]","[[ 3.89598657e+02 -4.79697691e+01  5.76720911e+02]
 [-9.43288267e+01 -2.61474345e+02  6.10605680e+02]
 [-1.02261310e-01 -2.80127372e-02  1.00000000e+00]]",7,"[[ 1.89442983e-03 -2.91690286e-04 -9.18005039e-01]
 [-4.33076463e-04 -3.57690291e-03  2.42207566e+00]
 [-1.07344981e-04 -2.49813960e-04  1.21372790e+00]]","[[ 5.41298082e+02 -8.45145642e+01  5.78066167e+02]
 [-3.84844204e+01 -3.18837244e+02  6.07153413e+02]
 [ 3.99526838e-02 -7.30989285e-02  1.00000000e+00]]"
1,6656.945242999995,"[[ 2.20283478e-03 -2.69301957e-04 -1.09845164e+00]
 [-2.83711101e-04 -4.05427254e-03  2.63521260e+00]
 [ 2.11989651e-04 -1.38236668e-04  9.62791623e-01]]","[[ 3.92918854e+02 -4.56438799e+01  5.73211972e+02]
 [-9.23465177e+01 -2.61313841e+02  6.09871677e+02]
 [-9.97727890e-02 -2.74692091e-02  1.00000000e+00]]",7,"[[ 1.88903187e-03 -2.75048921e-04 -9.18558461e-01]
 [-4.25091579e-04 -3.57493639e-03  2.41209980e+00]
 [-1.08816671e-04 -2.43590380e-04  1.21023560e+00]]","[[ 5.44236117e+02 -8.10216488e+01  5.74553413e+02]
 [-3.66784570e+01 -3.18222791e+02  6.06405748e+02]
 [ 4.15517799e-02 -7.13352978e-02  1.00000000e+00]]"
2,6657.045773999998,"[[ 2.19425086e-03 -2.31012794e-04 -1.06405782e+00]
 [-2.92225374e-04 -4.05217876e-03  2.63783468e+00]
 [ 1.91755815e-04 -1.29111980e-04  9.73602881e-01]]","[[ 4.02347921e+02 -4.04394632e+01  5.49293844e+02]
 [-8.82164532e+01 -2.61230835e+02  6.11354342e+02]
 [-9.09429876e-02 -2.66777438e-02  1.00000000e+00]]",7,"[[ 1.89389019e-03 -2.47512270e-04 -8.94668065e-01]
 [-4.04836671e-04 -3.59007151e-03  2.40206430e+00]
 [-9.09794358e-05 -2.39717666e-04  1.19567200e+00]]","[[ 5.38703221e+02 -7.39790406e+01  5.51708979e+02]
 [-3.84835341e+01 -3.16415058e+02  6.06871552e+02]
 [ 3.32747877e-02 -6.90664752e-02  1.00000000e+00]]"
3,6657.112794999994,"[[ 2.17646710e-03 -2.21260903e-04 -9.94267642e-01]
 [-3.34238669e-04 -4.03627283e-03  2.66323978e+00]
 [ 1.55647097e-04 -1.27633267e-04  9.97861297e-01]]","[[ 4.16279334e+02 -3.92480400e+01  5.19531136e+02]
 [-8.44416842e+01 -2.62628720e+02  6.16804782e+02]
 [-7.57322065e-02 -2.74700684e-02  1.00000000e+00]]",7,"[[ 1.90186128e-03 -2.47947182e-04 -8.44844992e-01]
 [-4.05903535e-04 -3.60963372e-03  2.41554738e+00]
 [-7.49687168e-05 -2.45104214e-04  1.18885334e+00]]","[[ 5.31071209e+02 -7.20459404e+01  5.23784737e+02]
 [-4.32793244e+01 -3.15504279e+02  6.10294970e+02]
 [ 2.45663458e-02 -6.95902659e-02  1.00000000e+00]]"
4,6657.179815999989,"[[ 2.14110524e-03 -2.18744265e-04 -8.91962153e-01]
 [-3.73991058e-04 -3.99392840e-03  2.68553901e+00]
 [ 1.10634741e-04 -1.19084300e-04  1.02153211e+00]]","[[ 4.35540444e+02 -3.81865189e+01  4.80686777e+02]
 [-7.86678721e+01 -2.64778062e+02  6.27393933e+02]
 [-5.63408749e-02 -2.67305884e-02  1.00000000e+00]]",7,"[[ 1.91258877e-03 -2.60843635e-04 -7.73037174e-01]
 [-3.98232172e-04 -3.63288146e-03  2.43726253e+00]
 [-5.39485219e-05 -2.52315908e-04  1.18211561e+00]]","[[ 5.21764272e+02 -7.13827100e+01  4.88379965e+02]
 [-4.81091446e+01 -3.14686644e+02  6.17354004e+02]
 [ 1.35432682e-02 -7.04258002e-02  1.00000000e+00]]"
5,6657.280346999993,"[[ 2.09870708e-03 -2.44307729e-04 -7.76963749e-01]
 [-4.01808508e-04 -3.96668016e-03  2.70073616e+00]
 [ 6.47354616e-05 -1.07974522e-04  1.03989891e+00]]","[[ 4.55099877e+02 -4.01216950e+01  4.44229929e+02]
 [-7.03631822e+01 -2.65074579e+02  6.35856861e+02]
 [-3.56366673e-02 -2.50255137e-02  1.00000000e+00]]",7,"[[ 1.92422774e-03 -2.98930240e-04 -6.91768834e-01]
 [-3.82411499e-04 -3.67165990e-03  2.45836321e+00]
 [-3.73405731e-05 -2.54778552e-04  1.17551572e+00]]","[[ 5.13934767e+02 -7.34940634e+01  4.56139504e+02]
 [-4.98276779e+01 -3.11463545e+02  6.22042969e+02]
 [ 5.52574077e-03 -6.98404454e-02  1.00000000e+00]]"
6,6657.380877999996,"[[ 2.09324135e-03 -2.72748910e-04 -7.43182262e-01]
 [-4.27199338e-04 -3.96502231e-03  2.71157950e+00]
 [ 5.78190475e-05 -1.11967115e-04  1.04596301e+00]]","[[ 4.56694046e+02 -4.37839311e+01  4.37998782e+02]
 [-7.17201183e+01 -2.65250992e+02  6.36684114e+02]
 [-3.29226838e-02 -2.59739999e-02  1.00000000e+00]]",7,"[[ 1.93080553e-03 -3.27410940e-04 -6.66611919e-01]
 [-3.95829048e-04 -3.67970451e-03  2.46789863e+00]
 [-3.01243317e-05 -2.58169168e-04  1.17420907e+00]]","[[ 5.09179870e+02 -7.69307905e+01  4.50756835e+02]
 [-5.39702895e+01 -3.10611858e+02  6.22190171e+02]
 [ 1.19675331e-03 -7.02667828e-02  1.00000000e+00]]"
7,6657.447898999992,"[[ 2.08773775e-03 -2.75774164e-04 -7.39642571e-01]
 [-4.34836310e-04 -3.95193435e-03  2.70957612e+00]
 [ 5.62303353e-05 -1.03149031e-04  1.04109036e+00]]","[[ 4.58135335e+02 -4.34141814e+01  4.38473399e+02]
 [-7.22851536e+01 -2.64632808e+02  6.37387098e+02]
 [-3.19062095e-02 -2.38744154e-02  1.00000000e+00]]",7,"[[ 1.92593089e-03 -3.30305136e-04 -6.63324708e-01]
 [-4.03284534e-04 -3.66938102e-03  2.46735326e+00]
 [-3.21385328e-05 -2.49756261e-04  1.17005613e+00]]","[[ 5.10701706e+02 -7.66848823e+01  4.51234554e+02]
 [-5.45220205e+01 -3.10010108e+02  6.22823668e+02]
 [ 2.38961835e-03 -6.82800621e-02  1.00000000e+00]]"
8,6657.514920000001,"[[ 2.08039874e-03 -2.76322870e-04 -7.37820720e-01]
 [-4.37072605e-04 -3.95326870e-03  2.71147773e+00]
 [ 4.60561696e-05 -1.09916631e-04  1.04981872e+00]]","[[ 4.61607011e+02 -4.44794596e+01  4.39302778e+02]
 [-6.99481010e+01 -2.65785896e+02  6.37313248e+02]
 [-2.75745801e-02 -2.58765978e-02  1.00000000e+00]]",8,"[[ 1.92573430e-03 -3.29525087e-04 -6.64899543e-01]
 [-4.05697603e-04 -3.67561029e-03  2.47196006e+00]
 [-3.40529737e-05 -2.57074172e-04  1.17545577e+00]]","[[ 5.10964053e+02 -7.74092609e+01  4.51818249e+02]
 [-5.44516724e+01 -3.10731206e+02  6.22660808e+02]
 [ 2.89396421e-03 -7.01999898e-02  1.00000000e+00]]"
9,6657.615450999991,"[[ 2.07781689e-03 -2.75484163e-04 -7.32179383e-01]
 [-4.38694732e-04 -3.94790712e-03  2.70304291e+00]
 [ 4.67209594e-05 -1.06684306e-04  1.04746300e+00]]","[[ 4.62153905e+02 -4.40505446e+01  4.36721942e+02]
 [-7.03764528e+01 -2.65578554e+02  6.36148526e+02]
 [-2.77817326e-02 -2.50843992e-02  1.00000000e+00]]",8,"[[ 1.92621395e-03 -3.28458901e-04 -6.61621459e-01]
 [-4.04249287e-04 -3.67076066e-03  2.46290109e+00]
 [-2.92074565e-05 -2.52060544e-04  1.16977149e+00]]","[[ 5.09915548e+02 -7.64898137e+01  4.49453520e+02]
 [-5.56600286e+01 -3.10116123e+02  6.21454253e+02]
 [ 7.38297270e-04 -6.87331775e-02  1.00000000e+00]]"
