# timestamps [seconds],pts
6656.878222,0
6656.945243,4392
6657.045774,10980
6657.112795,15372
6657.179816,19764
6657.280347,26353
6657.380878,32941
6657.447899,37333
6657.514920,41726
6657.615451,48314
6657.682472,52706
6657.783003,59294
6657.850024,63687
6657.917045,68079
6658.017576,74667
6658.084597,79059
6658.151618,83452
6658.620763,114197
6658.888846,131766
6659.022888,140550
6659.223950,153727
6659.391502,164707
6659.559054,175688
6659.760117,188864
6659.927669,199845
6660.061710,208629
6660.195752,217414
6660.363304,228394
6660.530856,239375
6660.664898,248159
6660.798939,256944
6660.932981,265728
6661.134043,278905
6661.335106,292081
6661.469147,300866
6661.703720,316239
6661.871272,327219
6662.105845,342592
6662.306907,355768
6662.440949,364553
6662.608501,375533
6662.977115,399690
6663.245198,417259
6663.479771,432632
6663.781365,452397
6663.982427,465574
6664.250510,483142
6664.485083,498515
6664.686146,511692
6664.853698,522672
6665.054760,535849
6665.222312,546829
6665.389864,557810
6665.523906,566594
6665.691458,577575
6665.859010,588555
6666.060072,601732
6666.227624,612713
6666.395176,623693
6666.596238,636870
6666.763790,647850
6666.931342,658831
6667.132405,672007
6667.299957,682988
6667.433998,691772
6667.635061,704949
6667.802613,715929
6667.903144,722518
6668.070696,733498
6668.305269,748871
6668.472821,759852
6668.707394,775224
6668.874946,786205
6669.143029,803774
6669.344091,816950
6669.511643,827931
6669.679195,838911
6670.047810,863068
6670.248872,876245
6670.449934,889422
6670.684507,904794
6670.852059,915775
6670.986101,924559
6671.220674,939932
6671.354715,948716
6671.522267,959697
6671.723330,972874
6671.924392,986050
6672.058434,994835
6672.225986,1005815
6672.360027,1014600
6672.494069,1023384
6672.594600,1029972
6672.728642,1038757
6672.862683,1047541
6672.996725,1056326
6673.130766,1065110
6673.264808,1073894
6673.398850,1082679
6673.532891,1091463
6673.633422,1098052
6673.800974,1109032
6673.935016,1117816
6674.035547,1124405
6674.270120,1139778
6674.504693,1155150
6674.705755,1168327
6674.940328,1183700
6675.074370,1192484
6675.241922,1203465
6675.476494,1218837
6675.677557,1232014
6675.845109,1242994
6676.079682,1258367
6676.347765,1275936
6676.749890,1302289
6677.084994,1324250
6677.453608,1348407
6677.855733,1374761
6678.123816,1392330
6678.291368,1403310
6678.492430,1416487
6678.827534,1438448
6679.062107,1453820
6679.464232,1480174
6679.899867,1508723
6680.268482,1532880
6680.503054,1548253
6680.938690,1576802
6681.240283,1596567
6681.608898,1620724
6681.876981,1638293
6682.212085,1660254
6682.413147,1673431
6682.614210,1686607
6682.781762,1697588
6682.949314,1708569
6683.116866,1719549
6683.351438,1734922
6683.552501,1748098
6683.720053,1759079
6683.887605,1770059
6684.055157,1781040
6684.256219,1794217
6684.423771,1805197
6684.557813,1813981
6684.792386,1829354
6684.892917,1835943
6684.993448,1842531
6685.127490,1851315
6685.295042,1862296
6685.596635,1882061
6686.099291,1915002
6686.367374,1932571
6686.702478,1954532
6687.037582,1976493
6687.339176,1996258
6687.674280,2018219
6688.009384,2040180
6688.243957,2055553
6688.478530,2070926
6688.813634,2092887
6688.947675,2101671
6689.182248,2117044
6689.450331,2134613
6689.651394,2147789
6690.053518,2174143
6690.321602,2191711
6690.589685,2209280
6690.824258,2224653
6691.058830,2240026
6691.259893,2253202
6691.460955,2266379
6691.628507,2277359
6691.796059,2288340
6692.030632,2303713
6692.164674,2312497
6692.298715,2321282
6692.466267,2332262
6692.667330,2345439
6692.868392,2358615
6693.002434,2367400
6693.203496,2380576
6693.438069,2395949
6693.639131,2409126
6693.907214,2426694
6694.141787,2442067
6694.342850,2455244
6694.577422,2470617
6694.711464,2479401
6694.879016,2490382
6695.080078,2503558
6695.247630,2514539
6695.381672,2523323
6695.582734,2536500
6695.716776,2545284
6695.850818,2554069
6696.085390,2569441
6696.286453,2582618
6696.454005,2593598
6696.621557,2604579
6696.789109,2615559
6696.956661,2626540
6697.124213,2637521
6697.325275,2650697
6697.425806,2657285
6697.626869,2670462
6697.794421,2681443
6697.995483,2694619
6698.163035,2705600
6698.330587,2716580
6698.531650,2729757
6698.732712,2742934
6698.866754,2751718
6699.000795,2760502
6699.168347,2771483
6699.335899,2782463
6699.469941,2791248
6699.704514,2806621
6699.872066,2817601
6700.073128,2830778
6700.307701,2846150
6700.508763,2859327
6700.642805,2868111
6700.843867,2881288
6700.977909,2890072
6701.145461,2901053
6701.346523,2914230
6701.514075,2925210
6701.681627,2936191
6701.882690,2949367
6702.050242,2960348
6702.184283,2969132
6702.351835,2980113
6702.586408,2995485
6702.787470,3008662
6703.189595,3035015
6703.491189,3054780
6703.792782,3074545
6704.295438,3107487
6704.496501,3120663
6704.731074,3136036
6704.932136,3149213
6705.066178,3157997
6705.166709,3164585
6705.367771,3177762
6705.535323,3188743
6705.669365,3197527
6705.836917,3208508
6705.970958,3217292
6706.138510,3228272
6706.239042,3234861
6706.507125,3252430
6706.674677,3263410
6706.875739,3276587
6707.110312,3291960
6707.311374,3305136
6707.512437,3318313
6707.713499,3331489
6707.981582,3349058
6708.350197,3373215
6708.551259,3386392
6708.685301,3395176
6708.886363,3408353
6709.053915,3419334
6709.187957,3428118
6709.422530,3443491
6709.623592,3456667
6709.791144,3467648
6710.092738,3487413
6710.327310,3502785
6710.528373,3515962
6710.729435,3529139
6710.964008,3544511
6711.165070,3557688
6711.399643,3573061
6711.600706,3586237
6711.768258,3597218
6711.935810,3608199
6712.103362,3619179
6712.337934,3634552
6712.505486,3645532
6712.639528,3654317
6712.773570,3663101
6713.075163,3682866
6713.242715,3693847
6713.410267,3704827
6713.644840,3720200
6713.812392,3731180
6713.979944,3742161
6714.181006,3755337
6714.315048,3764122
6714.482600,3775102
6714.683662,3788279
6714.851214,3799260
6714.985256,3808044
6715.253339,3825613
6715.454402,3838789
6715.554933,3845378
6715.755995,3858554
6715.890037,3867339
6716.024078,3876123
6716.191630,3887104
6716.392693,3900280
6716.493224,3906869
6716.694286,3920045
6716.828328,3928830
6716.928859,3935418
6717.230453,3955183
